Polarizer Angle (degrees),Visibility,Visibility Error,Maximum Intensity,Minimum Intensity,Maximum Intensity Error,Minimum Intensity Error
0,0.09576591564445795,0.005064931099543956,4.479666666666666e-06,3.696653846153846e-06,2.153885847120086e-08,3.512308394262981e-08
10,0.41979592073693994,0.006712303856096449,6.114009090909091e-06,2.4985090909090913e-06,4.587307390061096e-08,3.836981768383722e-08
20,0.6945939086294417,0.0041836480728745075,7.418555555555555e-06,1.3369999999999999e-06,3.931450467420096e-08,2.1669794646004373e-08
30,0.8773010537235001,0.005871380069501206,8.059892307692308e-06,5.267883333333334e-07,4.9981354215654856e-08,2.785733095396592e-08
40,0.9663727200839068,0.005616881668251725,8.6356e-06,1.4767888888888887e-07,5.363891622071926e-08,2.659505990049865e-08
45,0.953905865097218,0.0067383878662059865,8.749233333333333e-06,2.0640111111111108e-07,4.680120190764337e-08,3.273996313545742e-08
50,0.9165304955121708,0.010110833275030132,8.374681818181819e-06,3.647375e-07,8.037452106459876e-08,4.802939897509745e-08
60,0.7301997877802616,0.006816443924479289,7.701990909090909e-06,1.2010166666666665e-06,7.32587121719386e-08,3.482355089547442e-08
70,0.46736431630939806,0.0023544662531645205,7.168418181818182e-06,2.60205e-06,2.5580688739039802e-08,1.3513394028955793e-08
80,0.20698500777766038,0.0037063424278024238,6.216066666666666e-06,4.084088888888888e-06,4.1430755484301676e-08,1.9608062400734906e-08
90,0.11804704956001595,0.004305878506315034,5.682430769230769e-06,4.4824916666666665e-06,3.4923878760703346e-08,3.012638403711114e-08
