QWP Angle (degrees),Visibility,Visibility Error,Maximum Intensity,Minimum Intensity,Maximum Intensity Error,Minimum Intensity Error
0,0.9467455097007218,0.040982152464794405,4.8335900000000006e-05,1.3222600000000002e-06,2.2120463376701662e-07,1.045367347309069e-06
8,0.9133241947650605,0.005584267962272098,4.71776e-05,2.1372e-06,2.6088434219017384e-07,1.43445174829334e-07
16,0.7940232066247479,0.004478995494369767,4.43865e-05,5.0961374999999995e-06,3.180019654027312e-07,1.1802096145918314e-07
24,0.6063208090031791,0.0042268247426341,4.0867499999999995e-05,1.001586e-05,3.1201898980671063e-07,1.0990750838773478e-07
32,0.3725108136601461,0.004432048993984767,3.509154545454545e-05,1.6043272727272727e-05,2.4759070464133573e-07,1.2021805257651307e-07
40,0.13932249865645505,0.0037851124680238794,2.9198090909090904e-05,2.205709090909091e-05,1.4526993967060373e-07,1.30203654847079e-07
45,0.102240472095573,0.004076594216178943,2.8414727272727273e-05,2.31434e-05,1.3651113235263448e-07,1.549149444049864e-07
48,0.17900897655669842,0.0038297781900151215,3.022583333333333e-05,2.1047454545454543e-05,1.852110657841187e-07,1.0538532210750476e-07
56,0.4237353317006574,0.002827753013866891,3.702145454545454e-05,1.4984636363636363e-05,2.0088457275323066e-07,6.370282243964418e-08
64,0.6424439792903763,0.003495454577448451,4.248158333333333e-05,9.248136363636363e-06,3.262530864051544e-07,8.411675082048176e-08
72,0.8124479963336626,0.00825279759653072,4.6939727272727276e-05,4.85732e-06,2.186824559239385e-07,2.3476447686990467e-07
80,0.9129283366834685,0.015709326293859228,4.6711e-05,2.1261666666666667e-06,8.209241926024594e-06,1.456858187257008e-07
90,0.9454656593664047,0.01559489643004006,4.8832545454545446e-05,1.36885e-06,5.082463206746693e-06,3.763519571358703e-07
